Solvent,δD,δP,δH
"(3-hydroxy-2,2,4-trimethylpentyl) 2-methylpropanoate",15.129,6.109,9.8195
(Z)-octadec-9-enoic acid,14.3295,3.116,14.3295
"1,1,1-trichloroethane",16.9125,4.305,2.05
"1,1,2-trichloro-1,2,2-trifluoroethane",14.7395,1.599,0
"1,1-dichloroethane",16.646,8.2205,0.41
"1,1-dichloroethene",17.0355,6.806,4.51
"1,2,3-propanetriol",17.343,12.136,29.356
"1,2-diacetoxyethane",16.195,4.715,9.84
"1,2-diaminoethane",16.646,8.815,17.0355
"1,2-dichlorobenzene",19.2495,6.314,3.3005
"1,2-dichloroethane",19.0445,7.421,4.1
"1,2-dimethylbenzene",17.835,1.0045,3.116
"1,2-propanediol",16.892,9.43,23.3495
"1,3-butanediol",16.605,10.045,21.525
"1,3-dihydroxybenzene",18.04,8.4255,21.156
"1,3-dimethylbenzene",17.7325,1.025,3.075
"1,3-dioxolan-2-one",19.434,21.7505,5.1045
"1,3-dioxolane",18.04,6.56,9.225
"1,4-diethylbenzene",18.04,0,0.5945
"1,4-dimethylbenzene",17.63,1.025,3.116
1-bromonaphthalene,20.377,3.075,4.1
1-butoxypropan-2-ol,15.375,4.51,9.225
1-chlorobutane,16.2975,5.535,2.05
1-ethoxypropan-2-yl acetate,15.58,6.355,7.79
1-methoxy-2-propanol,15.539,6.314,11.726
1-methoxypropan-2-yl acetate,15.539,5.5145,9.8195
1-methylpropyl acetate,15.0265,3.69,7.6055
1-nitropropane,16.605,12.3,5.535
1-phenoxy-2-propanol,17.425,5.3095,11.521
"2,2,4-trimethylpentane",14.3295,0,0
"2,6-dimethyl-4-heptanone",16.031,3.7105,4.1
2-(2-butoxyethoxy)ethanol,16.031,7.011,10.619
2-(2-butoxyethoxy)ethyl acetate,16.031,4.1,8.2205
2-(2-butoxypropoxy)propan-1-ol,15.785,6.56,10.045
2-(2-ethoxyethoxy)ethanol,16.236,9.225,12.3205
2-(2-ethoxyethoxy)ethyl acetate,16.236,5.1045,9.225
2-(2-ethylhexoxy)ethanol,16.031,4.1,5.1045
2-(2-methoxyethoxy)ethanol,16.236,7.8105,12.7305
2-(2-methoxypropoxy)propan-1-ol,15.58,5.74,11.275
2-(2-propoxyethoxy)ethanol,16.031,7.216,11.316
2-aminoethanol,17.2405,15.6415,21.3405
2-butanol,15.826,5.7195,14.5345
2-butanone,16.031,9.02,5.1045
2-butoxyethanol,15.908,5.1045,12.3205
2-butoxyethyl acetate,15.334,4.51,8.815
2-ethoxyethanol,16.236,9.225,14.3295
2-ethoxyethyl acetate,15.949,4.715,10.619
2-ethyl-1-butanol,15.785,4.305,13.53
2-ethylhexanol,16.031,3.3005,11.931
2-ethylhexyl acetate,15.785,2.87,5.125
2-heptanone,16.236,5.7195,4.1
2-hexyloxyethanol,16.236,5.5145,9.02
2-methoxyethanol,16.195,9.225,16.441
2-methyl-1-propanol,15.129,5.7195,16.031
2-methyl-2-propanol,15.17,5.125,14.76
2-methylpentyl acetate,15.129,3.116,6.806
2-methylpropyl 2-methylpropanoate,15.129,2.911,5.904
2-methylpropyl acetate,15.129,3.7105,6.314
2-nitropropane,16.236,12.136,4.1
2-pentanone,16.031,7.626,4.715
2-phenoxyethanol,17.835,5.74,14.35
2-propanol,15.826,6.109,16.441
2-propanone,15.539,10.414,7.011
2-propen-1-ol,16.236,10.824,16.8305
2-propoxyethanol,16.236,8.61,13.53
"3,5,5-trimethyl-2-cyclohexen-1-one",16.646,8.2205,7.421
3-methyl-1-butanol,15.785,5.125,13.325
3-methylbutyl acetate,15.334,3.116,7.011
3-methylphenol,18.081,5.1045,12.9355
3-pentanone,15.826,7.626,4.715
"4-(hydroxymethyl)-1,3-dioxolan-2-one",18.04,25.625,17.425
4-chlorotrifluoromethylbenzene,18.04,5.904,3.9155
4-hydroxy-4-methylpentan-2-one,15.6825,8.2205,10.824
"4-methyl-2-oxo-1,3-dioxolane",20.049,18.04,4.1
4-methyl-2-pentanol,15.3135,3.3005,12.3205
4-methyl-2-pentanone,15.334,6.109,4.1
4-methyl-3-penten-2-one,16.3385,7.175,6.15
"4-oxa-2,6-heptandiol",15.9285,20.295,18.45
5-methyl-2-hexanone,16.031,5.7195,4.1
acetic acid,14.5345,8.0155,13.53
acetic anhydride,15.375,11.07,9.635
acetonitrile,15.334,18.04,6.109
acetophenone,19.639,8.61,3.7105
aniline,19.434,5.1045,10.0245
benzaldehyde,18.7575,8.61,5.33
benzene,18.45,0,2.009
benzoic acid,18.245,7.011,9.8195
benzyl alcohol,18.45,6.314,13.735
